ethnicity,date,filename,sex
CEU,1/14/03,GSM25635.CEL.gz,M
CEU,1/22/03,GSM25656.CEL.gz,M
CEU,11/22/02,GSM25657.CEL.gz,M
CEU,12/19/02,GSM25658.CEL.gz,F
CEU,1/31/03,GSM25659.CEL.gz,F
CEU,12/19/02,GSM25660.CEL.gz,M
CEU,12/19/02,GSM25661.CEL.gz,M
CEU,2/26/03,GSM25662.CEL.gz,F
CEU,2/26/03,GSM25663.CEL.gz,F
CEU,2/21/03,GSM25680.CEL.gz,M
CEU,2/21/03,GSM25681.CEL.gz,M
CEU,2/26/03,GSM25682.CEL.gz,F
CEU,2/26/03,GSM25683.CEL.gz,F
CEU,2/26/03,GSM25684.CEL.gz,M
CEU,2/26/03,GSM25685.CEL.gz,M
CEU,2/26/03,GSM25686.CEL.gz,F
CEU,2/26/03,GSM25687.CEL.gz,F
CEU,4/30/04,GSM48650.CEL.gz,M
CEU,4/30/04,GSM48651.CEL.gz,F
CEU,4/30/04,GSM48652.CEL.gz,M
CEU,4/30/04,GSM48653.CEL.gz,M
CEU,12/22/04,GSM48654.CEL.gz,F
CEU,11/4/04,GSM48655.CEL.gz,M
CEU,11/4/04,GSM48656.CEL.gz,M
CEU,11/18/04,GSM48657.CEL.gz,M
CEU,11/4/04,GSM48658.CEL.gz,F
CEU,11/18/04,GSM48660.CEL.gz,F
CEU,12/22/04,GSM48661.CEL.gz,F
CEU,11/18/04,GSM48662.CEL.gz,M
CEU,11/18/04,GSM48663.CEL.gz,F
CEU,11/22/02,GSM48664.CEL.gz,M
CEU,11/22/02,GSM48665.CEL.gz,F
ASN,5/13/05,GSM136441.CEL.gz,F
ASN,6/10/05,GSM136442.CEL.gz,F
ASN,6/10/05,GSM136443.CEL.gz,M
ASN,6/10/05,GSM136444.CEL.gz,M
ASN,6/10/05,GSM136445.CEL.gz,F
ASN,6/10/05,GSM136506.CEL.gz,M
ASN,6/23/05,GSM136507.CEL.gz,M
ASN,6/23/05,GSM136508.CEL.gz,M
ASN,6/23/05,GSM136509.CEL.gz,M
ASN,6/23/05,GSM136510.CEL.gz,M
ASN,6/23/05,GSM136514.CEL.gz,M
ASN,6/23/05,GSM136515.CEL.gz,M
ASN,6/27/05,GSM136516.CEL.gz,F
ASN,6/27/05,GSM136517.CEL.gz,F
ASN,6/27/05,GSM136518.CEL.gz,F
ASN,6/27/05,GSM136520.CEL.gz,F
ASN,6/27/05,GSM136521.CEL.gz,F
ASN,6/27/05,GSM136522.CEL.gz,M
ASN,6/27/05,GSM136523.CEL.gz,M
ASN,6/27/05,GSM136524.CEL.gz,M
ASN,6/27/05,GSM136528.CEL.gz,M
ASN,6/27/05,GSM136529.CEL.gz,M
ASN,6/27/05,GSM136530.CEL.gz,F
ASN,7/7/05,GSM136531.CEL.gz,M
ASN,7/7/05,GSM136532.CEL.gz,F
ASN,7/7/05,GSM136534.CEL.gz,M
ASN,7/7/05,GSM136535.CEL.gz,M
ASN,7/7/05,GSM136536.CEL.gz,F
ASN,7/7/05,GSM136537.CEL.gz,M
ASN,6/13/06,GSM136538.CEL.gz,F
ASN,6/13/06,GSM136539.CEL.gz,F
ASN,8/18/05,GSM136540.CEL.gz,F
ASN,8/18/05,GSM136541.CEL.gz,F
ASN,8/18/05,GSM136542.CEL.gz,M
ASN,8/18/05,GSM136543.CEL.gz,F
ASN,8/18/05,GSM136544.CEL.gz,F
ASN,8/18/05,GSM136545.CEL.gz,M
ASN,8/18/05,GSM136546.CEL.gz,M
ASN,8/18/05,GSM136547.CEL.gz,M
ASN,8/18/05,GSM136548.CEL.gz,M
ASN,8/18/05,GSM136549.CEL.gz,M
ASN,8/18/05,GSM136550.CEL.gz,F
ASN,8/18/05,GSM136551.CEL.gz,M
ASN,9/29/05,GSM136552.CEL.gz,M
ASN,9/29/05,GSM136553.CEL.gz,F
ASN,9/29/05,GSM136555.CEL.gz,F
ASN,9/29/05,GSM136556.CEL.gz,F
ASN,9/29/05,GSM136557.CEL.gz,M
ASN,9/29/05,GSM136558.CEL.gz,M
ASN,10/7/05,GSM136559.CEL.gz,M
ASN,10/7/05,GSM136563.CEL.gz,M
ASN,10/7/05,GSM136564.CEL.gz,M
ASN,10/7/05,GSM136565.CEL.gz,F
ASN,10/7/05,GSM136566.CEL.gz,F
ASN,10/7/05,GSM136567.CEL.gz,F
ASN,10/7/05,GSM136568.CEL.gz,F
ASN,10/7/05,GSM136569.CEL.gz,F
ASN,10/7/05,GSM136570.CEL.gz,M
ASN,10/7/05,GSM136571.CEL.gz,F
ASN,10/7/05,GSM136572.CEL.gz,M
ASN,10/7/05,GSM136573.CEL.gz,F
ASN,10/7/05,GSM136574.CEL.gz,F
ASN,10/28/05,GSM136575.CEL.gz,F
ASN,10/28/05,GSM136576.CEL.gz,M
ASN,10/28/05,GSM136577.CEL.gz,F
ASN,11/18/05,GSM136658.CEL.gz,M
ASN,11/18/05,GSM136659.CEL.gz,F
ASN,11/18/05,GSM136660.CEL.gz,M
ASN,11/18/05,GSM136661.CEL.gz,F
ASN,11/18/05,GSM136662.CEL.gz,M
ASN,11/18/05,GSM136663.CEL.gz,M
ASN,11/18/05,GSM136664.CEL.gz,M
ASN,11/18/05,GSM136665.CEL.gz,M
ASN,11/18/05,GSM136666.CEL.gz,M
ASN,11/18/05,GSM136667.CEL.gz,M
ASN,11/18/05,GSM136668.CEL.gz,M
ASN,11/18/05,GSM136669.CEL.gz,M
ASN,11/18/05,GSM136670.CEL.gz,M
ASN,12/21/05,GSM136671.CEL.gz,M
ASN,12/21/05,GSM136672.CEL.gz,F
ASN,12/21/05,GSM136673.CEL.gz,M
HAN,4/28/06,GSM136674.CEL.gz,F
HAN,4/28/06,GSM136675.CEL.gz,F
HAN,4/28/06,GSM136676.CEL.gz,F
HAN,4/28/06,GSM136677.CEL.gz,M
HAN,4/28/06,GSM136705.CEL.gz,M
HAN,4/28/06,GSM136706.CEL.gz,F
HAN,4/28/06,GSM136707.CEL.gz,F
HAN,4/28/06,GSM136708.CEL.gz,F
HAN,4/28/06,GSM136709.CEL.gz,M
HAN,4/28/06,GSM136710.CEL.gz,F
HAN,4/28/06,GSM136711.CEL.gz,M
HAN,4/28/06,GSM136712.CEL.gz,F
HAN,4/28/06,GSM136713.CEL.gz,F
HAN,4/28/06,GSM136714.CEL.gz,M
HAN,4/28/06,GSM136715.CEL.gz,M
HAN,4/28/06,GSM136716.CEL.gz,M
HAN,4/28/06,GSM136717.CEL.gz,F
HAN,4/28/06,GSM136718.CEL.gz,M
HAN,4/28/06,GSM136719.CEL.gz,F
HAN,4/28/06,GSM136720.CEL.gz,M
HAN,4/28/06,GSM136721.CEL.gz,F
HAN,4/28/06,GSM136722.CEL.gz,F
HAN,4/28/06,GSM136723.CEL.gz,M
HAN,4/28/06,GSM136724.CEL.gz,M
CEU,2/16/05,GSM136725.CEL.gz,F
CEU,2/16/05,GSM136726.CEL.gz,M
CEU,6/10/05,GSM136727.CEL.gz,M
ASN,5/13/05,GSM136729.CEL.gz,M
